word,artist,title,url,count
have,kendrick,Rapper Shit,https://genius.com/Ab-soul-and-kendrick-lamar-rapper-shit-lyrics,503
with,kendrick,Ronald Reagan Era (His Evils),,495
god,kendrick,Ab-Soul’s Outro,https://genius.com/Kendrick-lamar-ab-souls-outro-lyrics,489
here,kendrick,We Cry Together,https://genius.com/Kendrick-lamar-and-taylour-paige-we-cry-together-lyrics,484
through,kendrick,You Don’t Like,https://genius.com/Melo-kan-you-dont-like-lyrics,483
dont,kendrick,"Sing About Me, I’m Dying of Thirst",,483
bout,kendrick,We Next (Silent Hill Demo),https://genius.com/Kendrick-lamar-we-next-silent-hill-demo-lyrics,477
better,kendrick,Determined,https://genius.com/Kendrick-lamar-determined-lyrics,475
had,kendrick,Nickerson Gardens Freestyle,https://genius.com/Kendrick-lamar-nickerson-gardens-freestyle-lyrics,474
black,kendrick,Little Johnny,https://genius.com/Kendrick-lamar-little-johnny-lyrics,460
youre,kendrick,Before He Was Famous Freestyle (Nickerson Gardens Cypha),https://genius.com/Kendrick-lamar-before-he-was-famous-freestyle-nickerson-gardens-cypha-lyrics,450
hit,kendrick,MOJO JOJO,https://genius.com/Playboi-carti-mojo-jojo-lyrics,445
huh,kendrick,Before I Commit Suicide,https://genius.com/Kendrick-lamar-before-i-commit-suicide-lyrics,443
they,kendrick,"Sing About Me, I’m Dying of Thirst",,437
ayy,kendrick,So What,https://genius.com/Baby-keem-so-what-lyrics,436
like,kendrick,"Sing About Me, I’m Dying of Thirst",,432
for,kendrick,hey now,,431
ima,kendrick,Not Like Us (SPACE_PANDA POP REMIX),https://genius.com/Space-panda-not-like-us-space-panda-pop-remix-lyrics,422
will,kendrick,Little Johnny,https://genius.com/Kendrick-lamar-little-johnny-lyrics,420
than,kendrick,Welcome to C4,https://genius.com/Kendrick-lamar-welcome-to-c4-lyrics,414
world,kendrick,You Don’t Like,https://genius.com/Melo-kan-you-dont-like-lyrics,399
boy,kendrick,Murda,https://genius.com/King-esko-murda-lyrics,398
stop,kendrick,They Ready,https://genius.com/Dj-khaled-they-ready-lyrics,397
really,kendrick,Tints,https://genius.com/Anderson-paak-tints-lyrics,397
think,kendrick,Before I Commit Suicide,https://genius.com/Kendrick-lamar-before-i-commit-suicide-lyrics,395
city,kendrick,Alright (Music Video),https://genius.com/Kendrick-lamar-alright-music-video-lyrics,391
over,kendrick,Mother (Mother I Sober Demo),https://genius.com/Kendrick-lamar-mother-mother-i-sober-demo-lyrics,391
high,kendrick,Before He Was Famous Freestyle (Nickerson Gardens Cypha),https://genius.com/Kendrick-lamar-before-he-was-famous-freestyle-nickerson-gardens-cypha-lyrics,387
