word,artist,title,url,count
put,drake,Conceited vs Dumbfoundead,https://genius.com/King-of-the-dot-conceited-vs-dumbfoundead-lyrics,394
not,drake,Diplomatic Immunity,,391
feel,drake,Unstoppable,https://genius.com/Drake-unstoppable-lyrics,385
could,drake,THE HEART PART 6,https://genius.com/Drake-the-heart-part-6-lyrics,382
bout,drake,Money,https://genius.com/Drake-money-lyrics,382
at,drake,Peak,,381
even,drake,I’m Still,https://genius.com/Dj-khaled-im-still-lyrics,377
good,drake,On The Radar Freestyle,https://genius.com/Drake-and-central-cee-on-the-radar-freestyle-lyrics,376
gon,drake,Money,https://genius.com/Drake-money-lyrics,371
fuck,drake,Pound Cake / Paris Morton Music 2,,368
new,drake,OVO Sound Radio Episode 58 Tracklist,https://genius.com/Drake-ovo-sound-radio-episode-58-tracklist-lyrics,366
give,drake,Having Our Way,https://genius.com/Migos-having-our-way-lyrics,362
one,drake,Final Fantasy,,360
need,drake,NOKIA,,359
gotta,drake,On The Radar Freestyle,https://genius.com/Drake-and-central-cee-on-the-radar-freestyle-lyrics,357
girl,drake,NOKIA,,357
never,drake,Away From Home,,356
make,drake,Tried Our Best,,354
ill,drake,On The Radar Freestyle,https://genius.com/Drake-and-central-cee-on-the-radar-freestyle-lyrics,352
where,drake,Trust Issues (Remix),https://genius.com/Justin-bieber-trust-issues-remix-lyrics,352
see,drake,Chef Curry With The Pot,,347
baby,drake,GIMME A HUG,,344
think,drake,All of the Lights (Remix),https://genius.com/Kanye-west-all-of-the-lights-remix-lyrics,344
said,drake,Supermax*,https://genius.com/Drake-supermax-lyrics,343
real,drake,All of the Lights (Remix),https://genius.com/Kanye-west-all-of-the-lights-remix-lyrics,341
man,drake,305 to My City,,341
can,drake,Calling For You,,338
yall,drake,Lemon (Drake Remix),https://genius.com/Nerd-and-rihanna-lemon-drake-remix-lyrics,337
only,drake,Supermax*,https://genius.com/Drake-supermax-lyrics,336
life,drake,Bachelor,https://genius.com/Rod-wave-bachelor-lyrics,334
who,drake,GLORIOUS,https://genius.com/Partynextdoor-and-drake-glorious-lyrics,334
call,drake,Money,https://genius.com/Drake-money-lyrics,334
right,drake,Peak,,334
keep,drake,Money,https://genius.com/Drake-money-lyrics,332
had,drake,Ojuelegba (Remix),https://genius.com/Wizkid-ojuelegba-remix-lyrics,329
some,drake,Knife Talk,,329
over,drake,On The Radar Freestyle,https://genius.com/Drake-and-central-cee-on-the-radar-freestyle-lyrics,329
every,drake,Grindin’,https://genius.com/Lil-wayne-grindin-lyrics,327
ya,drake,All of the Lights (Remix),https://genius.com/Kanye-west-all-of-the-lights-remix-lyrics,325
young,drake,All of the Lights (Remix),https://genius.com/Kanye-west-all-of-the-lights-remix-lyrics,321
cant,drake,No Face,,318
as,drake,Lemon (Drake Remix),https://genius.com/Nerd-and-rihanna-lemon-drake-remix-lyrics,317
youre,drake,Peak,,311
wanna,drake,Gyalchester,,310
ayy,drake,Free Spirit,,309
tryna,drake,Can’t Hide from Love Freestyle,https://genius.com/Drake-cant-hide-from-love-freestyle-lyrics,305
had,drake,Away From Home,,304
tell,drake,NOKIA,,301
her,drake,HYFR (Hell Ya Fucking Right),,297
us,drake,WAIT FOR U,https://genius.com/Future-wait-for-u-lyrics,293
or,drake,On The Radar Freestyle,https://genius.com/Drake-and-central-cee-on-the-radar-freestyle-lyrics,292
ever,drake,Having Our Way,https://genius.com/Migos-having-our-way-lyrics,292
still,drake,Stories About My Brother,,292
take,drake,NOKIA,,292
gotta,drake,GIMME A HUG,,288
way,drake,No Face,,282
than,drake,Shopping Spree,https://genius.com/Drake-shopping-spree-lyrics,278
done,drake,MÍA (Dom Da Bomb Remix),https://genius.com/Bad-bunny-and-drake-mia-dom-da-bomb-remix-lyrics,272
thing,drake,Vital,https://genius.com/Drake-vital-lyrics,272
are,drake,Calling For You,,271
bad,drake,OVO Sound Radio Episode 58 Tracklist,https://genius.com/Drake-ovo-sound-radio-episode-58-tracklist-lyrics,271
lil,drake,As We Speak,https://genius.com/Yeat-as-we-speak-lyrics,269
these,drake,Knife Talk,,265
here,drake,No Face,,262
big,drake,OVO Sound Radio Episode 9 Tracklist,https://genius.com/Drake-ovo-sound-radio-episode-9-tracklist-lyrics,262
then,drake,Away From Home,,261
day,drake,Having Our Way,https://genius.com/Migos-having-our-way-lyrics,260
would,drake,Vital,https://genius.com/Drake-vital-lyrics,258
have,drake,Knife Talk,,258
whats,drake,Having Our Way,https://genius.com/Migos-having-our-way-lyrics,255
why,drake,Calling For You,,253
off,drake,After Dark,,253
night,drake,Solid,https://genius.com/Young-stoner-life-young-thug-and-gunna-solid-lyrics,250
where,drake,Pound Cake / Paris Morton Music 2,,250
turn,drake,U My Everything,https://genius.com/Sexyy-red-and-drake-u-my-everything-lyrics,248
about,drake,Buried Alive Interlude,,248
ooh,drake,I’m Still,https://genius.com/Dj-khaled-im-still-lyrics,244
come,drake,GIMME A HUG,,243
even,drake,Away From Home,,242
always,drake,Money,https://genius.com/Drake-money-lyrics,240
there,drake,MÍA (Dom Da Bomb Remix),https://genius.com/Bad-bunny-and-drake-mia-dom-da-bomb-remix-lyrics,240
hey,drake,Good Riddance (Aristo Diss),https://genius.com/Drake-good-riddance-aristo-diss-lyrics,239
boy,drake,Supermax*,https://genius.com/Drake-supermax-lyrics,236
feel,drake,Middle of the Ocean,,236
show,drake,Ojuelegba (Remix),https://genius.com/Wizkid-ojuelegba-remix-lyrics,235
through,drake,The Last Hope,https://genius.com/Drake-the-last-hope-lyrics,233
could,drake,Duppy Freestyle,,232
real,drake,NOKIA,,232
around,drake,Throw It In The Bag (Remix),https://genius.com/Fabolous-throw-it-in-the-bag-remix-lyrics,231
think,drake,30 for 30 Freestyle,,230
name,drake,FOR ALL THE BARBZ,https://genius.com/Nicki-minaj-for-all-the-barbz-lyrics,229
pop,drake,Family Matters,https://genius.com/Drake-family-matters-lyrics,228
