id,label,artist,avg_sentiment_score,anger_score,disgust_score,fear_score,joy_score,neutral_score,sadness_score,surprise_score
drake - Belong to the City (Demo),Belong to the City (Demo),drake,0.10920540111111111,0.06328046195105541,0.0836074817925691,0.02520986840439335,0.06694323779083784,0.47293360758986736,0.12983020653741226,0.15819512514604459
drake - Best I Ever Had,Best I Ever Had,drake,0.48304423296,0.12880282050743694,0.05137149757333095,0.036849809111095914,0.24672652462404218,0.41891518494114277,0.03899572725780303,0.07833843772299584
drake - Best I Ever Had (Remix),Best I Ever Had (Remix),drake,0.3881008627826087,0.20033800633138285,0.08771414763051202,0.0374426565598696,0.1339471162134862,0.4035374749897291,0.03857492520068969,0.09844568124871049
drake - Between Us,Between Us,drake,-0.25771781822580647,0.19388685793796132,0.11022883320354943,0.05358873100973842,0.05788845605509832,0.41312341605343167,0.05432094940765486,0.11696274948471612
drake - Big Amount,Big Amount,drake,0.08260119611764706,0.1202167296535609,0.1351784096565097,0.0626257215873064,0.09759865959777547,0.46087777745526504,0.05493761446491318,0.06856508691904732
drake - Big Mood,Big Mood,drake,-0.18713262,0.1678720415511634,0.12351760431192811,0.0270934271102305,0.07160618523994339,0.4801907329929236,0.05936985406151502,0.07035016151166924
drake - Big Rings,Big Rings,drake,-0.10769962253012047,0.10694828547021168,0.03725437854040769,0.03241600486076803,0.17612291470237343,0.5069844981498388,0.05278612139174733,0.08748779642810839
drake - Bigger Than You,Bigger Than You,drake,0.016545682783505145,0.1897349161211132,0.1419052445646567,0.044678895050760545,0.02323646674691166,0.4342909522604236,0.08014967308389308,0.08600384620565572
drake - Bitch Is Crazy,Bitch Is Crazy,drake,0.09272604862745097,0.2044248131889046,0.1584822584523399,0.0467080890153096,0.1218227474110237,0.3001367412051003,0.06588882442527244,0.1025365402684638
drake - Blem,Blem,drake,0.2771961268888889,0.1354435917559183,0.06894988761956074,0.08260047189218714,0.07999421032145615,0.4144425618979666,0.14530879223926196,0.07326048746084168
drake - Bleu (better with time),Bleu (better with time),drake,0.38567876448979593,0.07383028823616244,0.031026651911741577,0.039881431540398214,0.041597463375869705,0.6272355756741397,0.13395679590045187,0.05247180161009331
drake - Blind Faith,Blind Faith,drake,-0.085424335625,0.1341368319262983,0.06645328405526618,0.034813601344164107,0.016668410586134944,0.24192153741993627,0.41895489209127845,0.08705144489552667
drake - Blue Green Red,Blue Green Red,drake,-0.24431434130434782,0.08200354179691358,0.07091451698131315,0.046612542527525266,0.02968267204266955,0.5327126206425221,0.1231131232478588,0.11496097578640105
drake - Blue Tint,Blue Tint,drake,-0.31850070750000004,0.18021570037152349,0.11479697555270307,0.05041425334223142,0.06941775551032538,0.35179855624612955,0.07077331893378865,0.16258342219849248
drake - Body 2 Body (Lovesick),Body 2 Body (Lovesick),drake,-0.23668988142857142,0.2638485574917424,0.17326270945237146,0.06182941087588129,0.01821336451740487,0.26563653844364343,0.14295668398872724,0.07425271281750778
drake - Born 2 Be Great,Born 2 Be Great,drake,0.1345128073076923,0.1945815104588221,0.12014679861693783,0.08185640729229463,0.10353339863538094,0.388233704223799,0.043059684560061026,0.06858849469930503
drake - Both (Remix),Both (Remix),drake,-0.12770146246376812,0.13030380510684586,0.18725041711055063,0.06497006026683776,0.032409827705756095,0.4497790677486446,0.09590327692474572,0.039383539126888946
drake - Brand New,Brand New,drake,-0.1872254554054054,0.08852315845118981,0.07767471031764066,0.03347925143316384,0.019956141040106633,0.4850546375319764,0.06156223052735058,0.2337498604257062
drake - Bria’s Interlude,Bria’s Interlude,drake,0.500191905,0.059733039561251595,0.03294490797634349,0.061940744672028765,0.05580322828245693,0.5076406415028032,0.20525581590482028,0.0766816178002045
drake - Bricks,Bricks,drake,0.04436833315315316,0.11282091030561536,0.06563703560371048,0.08494759297002571,0.07144718637547308,0.36679639566589045,0.12678576814564493,0.17156510597392746
drake - Bring It Back,Bring It Back,drake,-0.02512052807692307,0.23751220047378382,0.15001153341458676,0.04927025651499528,0.04893110579220001,0.40710572490038777,0.06711223308080563,0.04005693072805368
drake - Broke Boys,Broke Boys,drake,-0.44905173405797105,0.2591131872268042,0.14871443627550657,0.05088274722473449,0.04209562504083669,0.26885923166232906,0.1543450232669441,0.07598973657645658
drake - Buffalo Freestyle,Buffalo Freestyle,drake,-0.05636833727272728,0.11388373833403664,0.07983504077842962,0.05632082467570642,0.11064324375368989,0.471256762560965,0.0879870400086722,0.08007333906240417
drake - Bullets Don’t Tickle*,Bullets Don’t Tickle*,drake,-0.6340022990909091,0.13176108519970012,0.07031267879276787,0.022155081165361763,0.17703893344680013,0.4151153251190077,0.1383996190587905,0.04521727896380148
drake - Buried Alive Interlude,Buried Alive Interlude,drake,-0.2783238206,0.15111852669622747,0.11455400805221866,0.10121132747386577,0.10728295431006694,0.33631208999548107,0.13036880990955976,0.059152279535774094
"drake - Buried Alive Interlude, Pt. 2","Buried Alive Interlude, Pt. 2",drake,-0.5045694179166667,0.16362301803504423,0.1579399755670844,0.034257780391878094,0.05142710223056681,0.4101689930539578,0.10304702344971395,0.07953612659669787
drake - Buy a Heart,Buy a Heart,drake,-0.5049052561290323,0.1600252075511361,0.1179009622804099,0.04702498111216677,0.04806606041365148,0.46394257439721015,0.04699906321512832,0.11604115636944165
drake - CELIBACY,CELIBACY,drake,0.190138345,0.0921739035296592,0.077871915011201,0.051259575684194994,0.10223974685438651,0.5018518062054433,0.07114944884299551,0.10345360648088069
drake - CN TOWER,CN TOWER,drake,-0.05568398303030303,0.11521844208155839,0.13047451040686356,0.045283410751091435,0.06455239160409701,0.43360564040697436,0.08233919976434356,0.12852640733278042
drake - CRYING IN CHANEL,CRYING IN CHANEL,drake,-0.0799280918,0.14066499045118686,0.07449645760934795,0.047941002792213076,0.0994225303921848,0.40409151478670535,0.15784773350693282,0.07553576551843431
drake - Calling For You,Calling For You,drake,-0.3217753624175824,0.2208752189391896,0.22297069970978892,0.03825695848394344,0.038709144870133945,0.31770356552634427,0.08573582403331091,0.07574859734849776
drake - Calling My Name,Calling My Name,drake,0.011575203461538449,0.22978469557487044,0.2384519753977656,0.02468086313456292,0.013697817473887208,0.3802506826244868,0.04238769644871349,0.07074629732121065
drake - Cameras,Cameras,drake,-0.1363504667605634,0.1321741159362587,0.06399561261797557,0.0548743077530853,0.08007767613039307,0.4320372263573005,0.06360572750981841,0.1732353339640712
drake - Can I,Can I,drake,0.1566098402631579,0.14678070265309587,0.061396680061558316,0.18720009913177862,0.0152053594846572,0.33316448575964097,0.1549096148412086,0.10134302790423752
drake - Can’t Have Everything,Can’t Have Everything,drake,-0.18569970786885245,0.1477218886940419,0.09456796797668007,0.08589061308789567,0.05484545126473373,0.42956313699270127,0.09816203882333772,0.08924889660509085
drake - Can’t Hide from Love Freestyle,Can’t Hide from Love Freestyle,drake,0.11986030927272728,0.08552921150218352,0.08118599330773572,0.031072564009809813,0.12924840127710588,0.4969285115768964,0.06655273061584338,0.10948259661355138
drake - Can’t Take a Joke,Can’t Take a Joke,drake,-0.24103192160714285,0.17259858117072974,0.10203061457598643,0.027303725123471935,0.07929227361455556,0.4700909999664873,0.0778971591997625,0.07078665075823659
drake - Cece’s Interlude,Cece’s Interlude,drake,0.1658547741666667,0.14751364899954444,0.058191995990152116,0.1546458456626472,0.08130079397233199,0.32815961974362534,0.13491822763656572,0.09526985992367065
drake - Celebration,Celebration,drake,0.5710797093965517,0.0421280339239807,0.04557318494937193,0.024303120755136833,0.26532005594043734,0.4309547600689633,0.06804973288069892,0.12367112112556708
drake - Champagne Poetry,Champagne Poetry,drake,-0.012316049690721646,0.13144223536028687,0.07533994078883398,0.03843253222594187,0.09995934423887329,0.43376477914814326,0.11637421476069028,0.10468695697509055
drake - Change Locations,Change Locations,drake,-0.0026324922058823482,0.12088283017168147,0.14220133939456628,0.0182139711499022,0.11051120368339226,0.4788040431209511,0.059108190375434966,0.07027840322253345
drake - Charged Up,Charged Up,drake,-0.07820961779661018,0.1710463237565926,0.11561744626694338,0.08952767084652585,0.08629201032750114,0.3354760259389877,0.11368289798442902,0.08835764410431982
drake - Cheerios,Cheerios,drake,-0.4291125424444444,0.22763126360045535,0.18354140656172396,0.021874063376647684,0.021785774413082288,0.4013351342330376,0.07164090778678651,0.07219144522419402
drake - Chef Curry With The Pot,Chef Curry With The Pot,drake,-0.08321212427083334,0.19723603456804992,0.16610173174315904,0.021111868338872786,0.049335818020457084,0.38436492792485905,0.0641979673916163,0.1176516521251566
drake - Chicago Freestyle,Chicago Freestyle,drake,0.1734610418292683,0.0730426106459983,0.05797573431996941,0.03507250177151541,0.0727102160226644,0.620723674391828,0.0541783703332085,0.0862968917992874
drake - Child’s Play,Child’s Play,drake,0.22148098325301205,0.14868703865479807,0.1526827999328947,0.04374955438430898,0.09611101365081559,0.44458615190787126,0.045710353640816964,0.06847308410039862
drake - Circadian Rhythm,Circadian Rhythm,drake,-0.4861267478571428,0.2483149915268378,0.25492488475339037,0.019360554254879852,0.035244455067662564,0.3179400081613234,0.041111872542560754,0.08310323627111275
drake - Circo Loco,Circo Loco,drake,0.052421164117647065,0.13969586372567225,0.11940792224520595,0.04612961833652872,0.03863631400813837,0.5264938131303472,0.07421356022549679,0.05542291768634797
drake - City Is Mine,City Is Mine,drake,-0.0010774324050632942,0.13828740070892281,0.052556183203889745,0.10449175999567639,0.060113990067097584,0.5295892223197071,0.03719189204275604,0.07776955657055054
drake - Closer to My Dreams,Closer to My Dreams,drake,0.08832374944,0.10097305412404235,0.09832851641252632,0.04959995038807387,0.06407370840176004,0.48805569217633454,0.11149633663520213,0.08747274922952052
drake - Club Paradise,Club Paradise,drake,-0.004411996578947368,0.12845336180946196,0.11791247759614822,0.05755241567998091,0.05478742285968584,0.4148978250848717,0.06931894057197492,0.15707755423347022
drake - Come Real,Come Real,drake,0.21320444785714288,0.08839348008872805,0.06606582108153293,0.019602827858761846,0.09189746335115545,0.5415302630447384,0.061902682363454746,0.13060745772340196
drake - Come Thru,Come Thru,drake,-0.21607059551282048,0.1267772424452675,0.05482992914338137,0.03254192421296369,0.045007677645816487,0.43679815580328113,0.038366757769089814,0.2656783214471756
drake - Come Up,Come Up,drake,-0.38674103271604937,0.24766829304316618,0.09338632902636383,0.03286744130022221,0.08628891152186015,0.3778054351102054,0.058515403554832264,0.10346817425854592
drake - Come Winter,Come Winter,drake,0.10918547099009901,0.08304236193607087,0.08744857993004562,0.049569420887924924,0.09953153221453029,0.4944662728351495,0.09205820577767776,0.09388361921842843
drake - Comeback Season,Comeback Season,drake,0.025853187843137258,0.18559003025110735,0.07403226614263196,0.028184155690456302,0.04015798249062804,0.4885756552548093,0.0873332274301598,0.0961266890232104
drake - Company,Company,drake,0.1009530863768116,0.18044109389091417,0.1432120701166517,0.04671872797442353,0.07755951691786687,0.40188308811638557,0.06169907363685033,0.08848644278612848
drake - Conceited vs Dumbfoundead,Conceited vs Dumbfoundead,drake,-0.32847573863309354,0.14982786940296824,0.12803736955585732,0.050505520677505515,0.052939061279385136,0.48205644104683354,0.03567993289769267,0.10095380706605396
